event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
foul,92.007,0.125,2.054,Four-seam FB,FF
foul,86.5,-0.88,2.13,Splitter,FS
hit_into_play,92.1,0.397,2.2,Two-seam FB,FT
hit_into_play,85,0.426,1.924,Cutter,FC
foul,98.78,-0.742,2.653,Four-seam FB,FF
swinging_strike,93.9,0.321,2.453,Four-seam FB,FF
swinging_strike,92.4,-0.076,2.674,Four-seam FB,FF
swinging_strike,76.6,0.418,2.457,Curveball,CU
foul,74.1,0.469,1.583,Curveball,CU
foul,90.7,0.377,2.461,Four-seam FB,FF
hit_into_play,93.1,-0.062,2.412,Four-seam FB,FF
swinging_strike,86.7,1.165,2.383,Cutter,FC
hit_into_play,93.5,0.226,1.24,Sinker,SI
foul,85.9,-0.097,1.031,Splitter,FS
hit_into_play,86.9,-0.239,2.515,Splitter,FS
foul,92.5,-0.96,3.58,Two-seam FB,FT
hit_into_play,92,0.176,2.377,Two-seam FB,FT
hit_into_play,96.5,-1.194,1.76,Two-seam FB,FT
hit_into_play,89.8,0.019,2.285,Two-seam FB,FT
hit_into_play,90.4,0.085,2.493,Four-seam FB,FF
swinging_strike,83.4,-0.153,0.82,Changeup,CH
hit_into_play,88.5,-0.608,3.54,Sinker,SI
foul,94.391,-0.137,2.772,Four-seam FB,FF
hit_into_play,90.916,0.414,2.659,Four-seam FB,FF
foul,93.7,1.06,1.734,Four-seam FB,FF
foul,92.578,0.04,2.422,Four-seam FB,FF
hit_into_play,92.058,-0.175,2.088,Sinker,SI
foul,82,-0.439,2.248,Slider,SL
hit_into_play,94.8,0.29,1.73,Four-seam FB,FF
hit_into_play,84.974,1.253,2.343,Slider,SL
hit_into_play,77.231,0.043,1.732,Curveball,CU
foul,75,-0.019,2.126,Knuckle Curve,KC
foul,96.738,0.777,3.356,Cutter,FC
hit_into_play,97.2,-0.042,1.883,Four-seam FB,FF
foul,87,0.358,2.769,Four-seam FB,FF
swinging_strike,83.1,0.163,1.346,Slider,SL
hit_into_play,88.664,-0.626,2.377,Four-seam FB,FF
foul,78.6,-0.063,2.98,Changeup,CH
hit_into_play,93.2,-0.276,3.292,Four-seam FB,FF
hit_into_play,91,0.142,2.517,Four-seam FB,FF
hit_into_play,87.9,0.87,3.74,Cutter,FC
foul,84.407,-0.253,2.333,Cutter,FC
hit_into_play,91.3,0.014,1.953,Sinker,SI
swinging_strike,74,0.911,0.054,Curveball,CU
foul,92.2,-0.902,1.661,Four-seam FB,FF
foul,93.3,-0.211,2.464,Four-seam FB,FF
foul,93.799,0.913,2.849,Two-seam FB,FT
foul,81.3,-0.122,2.626,Slider,SL
foul,88.1,0.549,2.106,Sinker,SI
foul,91.2,1.015,3.191,Four-seam FB,FF
hit_into_play,95.9,0.252,2.759,Four-seam FB,FF
hit_into_play,80.2,0.202,2.238,Curveball,CU
swinging_strike,80.9,0.866,0.737,Slider,SL
swinging_strike,87.7,1.83,1.41,Cutter,FC
foul,88.1,1.642,1.409,Cutter,FC
foul,79.332,-0.238,2.561,Curveball,CU
hit_into_play,90.3,0.49,2.66,Cutter,FC
swinging_strike,82.3,0.627,1.886,Cutter,FC
foul,91.2,-0.01,2.401,Two-seam FB,FT
swinging_strike,88.8,1.11,2.47,Slider,SL
foul,94.7,-0.303,3.584,Four-seam FB,FF
swinging_strike,83.971,1.138,1.249,Knuckle Curve,KC
foul,97.5,0.365,2.509,Four-seam FB,FF
foul,81.7,0.699,2.246,Curveball,CU
hit_into_play,88,0.679,2.227,Sinker,SI
hit_into_play,83,0.449,2.741,Slider,SL
swinging_strike,84.9,-0.845,2.185,Changeup,CH
foul,86.6,0.192,2.353,Slider,SL
foul,89.6,0.705,2.537,Four-seam FB,FF
swinging_strike,93.1,-0.995,3.88,Four-seam FB,FF
foul,80.036,0.331,3.434,Curveball,CU
foul,94.2,-1.321,1.431,Two-seam FB,FT
foul,94.2,-0.858,1.937,Four-seam FB,FF
hit_into_play,93,-0.25,1.74,Two-seam FB,FT
hit_into_play,85.5,0.775,3.059,Cutter,FC
foul,79.8,-0.083,2.544,Curveball,CU
foul,94.532,0.245,3.559,Four-seam FB,FF
foul,91.5,-0.011,3.209,Four-seam FB,FF
swinging_strike,90.6,-0.313,1.724,Four-seam FB,FF
foul,89.1,0.306,3.042,Slider,SL
foul,85.7,1.168,2.421,Two-seam FB,FT
foul,90.3,0.714,1.74,Sinker,SI
hit_into_play,90.5,0.367,2.083,Sinker,SI
foul,84,0.838,1.196,Cutter,FC
swinging_strike,82.167,0.588,2.162,Slider,SL
hit_into_play,88.3,0.752,2.692,Four-seam FB,FF
swinging_strike,85.2,0.026,3.146,Four-seam FB,FF
foul,97.5,0.002,3.215,Four-seam FB,FF
swinging_strike,94.3,0.214,1.601,Cutter,FC
foul,88.4,-0.295,3.059,Four-seam FB,FF
hit_into_play,81.8,0.84,1.533,Slider,SL
foul,88.7,-0.455,2.145,Four-seam FB,FF
foul,77,0.026,2.793,Changeup,CH
foul,88,-0.268,2.056,Cutter,FC
foul,88,1.3,2.35,Cutter,FC
foul,81.8,0.56,1.866,Slider,SL
swinging_strike,74.672,1.702,2.132,Curveball,CU
swinging_strike,77.9,0.268,1.109,Curveball,CU
swinging_strike,93.5,-0.268,3.612,Two-seam FB,FT
foul,91.7,0.56,3.002,Four-seam FB,FF
hit_into_play,94.9,0.286,2.519,Four-seam FB,FF
swinging_strike,95.067,1.368,2.644,Cutter,FC
hit_into_play,88.9,1.04,1.77,Cutter,FC
swinging_strike,88.8,-0.011,1.638,Cutter,FC
swinging_strike,88.206,1.616,1.93,Splitter,FS
swinging_strike,92.497,0.21,3.134,Four-seam FB,FF
hit_into_play,89,-0.666,1.735,Slider,SL
foul,87.592,0.116,2.14,Sinker,SI
foul,91.4,-1.164,2.008,Two-seam FB,FT
hit_into_play,91.9,-0.01,2.758,Four-seam FB,FF
foul,94.3,0.104,1.135,Four-seam FB,FF
foul,93.4,-0.105,3.225,Four-seam FB,FF
foul,91.2,0.204,2.52,Four-seam FB,FF
foul,83.902,0.32,2.35,Slider,SL
swinging_strike,84.036,0.628,1.23,Slider,SL
foul,88.3,-1.133,3.257,Four-seam FB,FF
hit_into_play,77.2,1.022,1.364,Slider,SL
hit_into_play,92.423,0.365,1.767,Sinker,SI
hit_into_play,93.3,0.011,1.104,Four-seam FB,FF
hit_into_play,91.716,-1.159,2.582,Four-seam FB,FF
hit_into_play,92.2,-0.811,2.91,Four-seam FB,FF
foul,92.6,-0.265,2.564,Four-seam FB,FF
hit_into_play,81.1,0.151,1.018,Curveball,CU
hit_into_play,84.5,0.31,3.666,Cutter,FC
hit_into_play,83.5,0.655,3.507,Four-seam FB,FF
foul,92.6,-0.035,1.543,Two-seam FB,FT
hit_into_play,93.4,-0.398,2.233,Four-seam FB,FF
foul,91,-0.878,1.885,Four-seam FB,FF
swinging_strike,79.058,0.389,1.674,Slider,SL
foul,89.8,-0.263,1.977,Sinker,SI
hit_into_play,91.9,-1.271,2.849,Two-seam FB,FT
foul,87.8,0.057,1.672,Slider,SL
swinging_strike,80,0.057,1.984,Changeup,CH
hit_into_play,94.7,-0.133,2.041,Four-seam FB,FF
foul,92.4,-0.667,2.665,Two-seam FB,FT
hit_into_play,84.3,-0.221,2.018,Changeup,CH
foul,85.3,-0.223,1.426,Cutter,FC
swinging_strike,85,1.16,0.847,Changeup,CH
foul,90.1,0.145,2.767,Four-seam FB,FF
swinging_strike,91.4,-0.129,1.959,Sinker,SI
foul,84.14,0.606,2.848,Splitter,FS
hit_into_play,85.8,0.374,2.443,Slider,SL
foul,91,-0.066,2.026,Four-seam FB,FF
swinging_strike,82.8,0.478,2.211,Slider,SL
swinging_strike,87.9,0.67,0.903,Cutter,FC
foul,90.644,0.567,1.636,Four-seam FB,FF
foul,87.8,-0.015,2.936,Four-seam FB,FF
foul,80,-0.359,0.624,Knuckle Curve,KC
hit_into_play,93.4,-0.662,2.639,Four-seam FB,FF
hit_into_play,98,0.026,2.224,Four-seam FB,FF
foul,75.199,0.319,3.044,Changeup,CH
hit_into_play,92.4,0.402,3.195,Four-seam FB,FF
swinging_strike,73.8,0.98,1.991,Curveball,CU
swinging_strike,89.5,0.962,2.6,Two-seam FB,FT
foul,85.7,-0.08,2.139,Slider,SL
foul,95.1,-0.034,1.649,Four-seam FB,FF
foul,87.2,0.239,2.324,Four-seam FB,FF
swinging_strike,83.453,1.083,1.612,Slider,SL
swinging_strike,85.072,0.587,1.666,Slider,SL
foul,91.1,0.82,2.63,Cutter,FC
swinging_strike,88,0.812,1.687,Slider,SL
hit_into_play,88.6,0.674,2.042,Four-seam FB,FF
foul,86.8,0.913,3.13,Slider,SL
foul,91.5,0.757,2.262,Four-seam FB,FF
hit_into_play,88,-0.062,2.923,Changeup,CH
swinging_strike,86.5,1.439,0.935,Splitter,FS
hit_into_play,90.336,-0.53,2.689,Four-seam FB,FF
swinging_strike,78.6,-0.663,3.142,Knuckle Curve,KC
hit_into_play,90.271,-0.535,2.564,Four-seam FB,FF
hit_into_play,88.481,-0.293,1.431,Four-seam FB,FF
hit_into_play,82.6,1.05,2.275,Slider,SL
hit_into_play,94.5,-0.832,2.707,Four-seam FB,FF
foul,94.1,-0.131,3.45,Four-seam FB,FF
swinging_strike,88.502,1.216,1.909,Slider,SL
hit_into_play,91.9,0.739,2.987,Four-seam FB,FF
hit_into_play,88.7,0.252,2.138,Cutter,FC
foul,93.2,-1.072,2.705,Sinker,SI
foul,93.2,0.854,2.48,Sinker,SI
foul,78.9,-0.449,1.958,Curveball,CU
foul,91.1,0.637,2.009,Four-seam FB,FF
foul,93.3,-0.844,1.728,Two-seam FB,FT
swinging_strike,93.9,0.066,3.22,Four-seam FB,FF
hit_into_play,96.5,0.656,1.917,Two-seam FB,FT
foul,91.2,-0.295,2.838,Four-seam FB,FF
foul,94,-0.481,2.175,Two-seam FB,FT
foul,91.7,0.807,3.093,Four-seam FB,FF
swinging_strike,88.5,1.415,1.858,Slider,SL
foul,94,-0.519,2.756,Four-seam FB,FF
hit_into_play,86.2,-0.267,1.055,Slider,SL
foul,90.1,-0.354,2.906,Four-seam FB,FF
swinging_strike,82.9,-0.128,0.949,Changeup,CH
hit_into_play,79.5,-0.222,2.631,Curveball,CU
swinging_strike,93.6,0.58,2.627,Four-seam FB,FF
hit_into_play,83.483,0.803,2.382,Slider,SL
foul,95.8,1.02,1.61,Four-seam FB,FF
foul,90.6,0.942,1.986,Four-seam FB,FF
hit_into_play,89,-0.047,2.868,Four-seam FB,FF
foul,86.6,-0.336,1.396,Changeup,CH
foul,96.5,0.118,2.57,Four-seam FB,FF
foul,88.327,-0.106,2.181,Cutter,FC
foul,93.9,0.205,3.462,Four-seam FB,FF
hit_into_play,81,0.062,1.947,Slider,SL
hit_into_play,89.767,0.624,3.306,Slider,SL
hit_into_play,85.8,0.791,1.635,Slider,SL
foul,94.421,-0.002,3.219,Four-seam FB,FF
foul,93.4,-0.366,2.172,Four-seam FB,FF
foul,94.602,-1.437,2.558,Four-seam FB,FF
foul,96.1,1.173,2.697,Four-seam FB,FF
foul,84,-1.22,2.41,Splitter,FS
swinging_strike,90.2,1.159,1.933,Four-seam FB,FF
foul,87.8,-0.172,2.147,Slider,SL
foul,82.821,0.626,2.944,Slider,SL
foul,88.7,0.327,0.78,Slider,SL
