event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
hit_into_play,87.7,-0.682,2.297,Cutter,FC
foul,91.4,0.309,1.471,Four-seam FB,FF
hit_into_play,81.7,0.651,1.722,Slider,SL
hit_into_play,89.6,1.064,1.532,Two-seam FB,FT
swinging_strike,92.7,0.107,3.169,Four-seam FB,FF
foul,84.9,-0.34,3.09,Slider,SL
swinging_strike,85.482,1.427,1.346,Cutter,FC
swinging_strike,84,-0.01,1.579,Curveball,CU
hit_into_play,92,0.006,2.592,Four-seam FB,FF
foul,92.1,0.616,2.787,Four-seam FB,FF
foul,96.2,0.257,2.249,Sinker,SI
foul,95.7,-0.465,2.613,Four-seam FB,FF
foul,99.3,-0.005,3.406,Four-seam FB,FF
hit_into_play,76.6,0.447,1.679,Curveball,CU
hit_into_play,76.1,-0.397,1.681,Curveball,CU
foul,79.3,-0.652,2.33,Curveball,CU
swinging_strike,85.9,1.37,1.228,Splitter,FS
hit_into_play,92.148,-0.591,1.993,Sinker,SI
swinging_strike,84.5,0.802,1.266,Slider,SL
hit_into_play,90.7,-1.001,2.041,Two-seam FB,FT
hit_into_play,92.7,0.774,2.776,Four-seam FB,FF
hit_into_play,92.2,-0.328,3.315,Four-seam FB,FF
hit_into_play,85.597,0.193,1.897,Slider,SL
